class,x1_0,y1_0,z1_0,x2_0,y2_0,z2_0,x3_0,y3_0,z3_0,x4_0,y4_0,z4_0,x5_0,y5_0,z5_0,x6_0,y6_0,z6_0,x7_0,y7_0,z7_0,x8_0,y8_0,z8_0,x9_0,y9_0,z9_0,x10_0,y10_0,z10_0,x11_0,y11_0,z11_0,x12_0,y12_0,z12_0,x13_0,y13_0,z13_0,x14_0,y14_0,z14_0,x15_0,y15_0,z15_0,x16_0,y16_0,z16_0,x17_0,y17_0,z17_0,x18_0,y18_0,z18_0,x19_0,y19_0,z19_0,x20_0,y20_0,z20_0
H,0.053145080804825,-0.090778827667236,-0.021139612421393,0.087338209152222,-0.170457541942596,-0.083985425531864,0.103735834360123,-0.203522682189941,-0.151845768094063,0.088363111019135,-0.178043127059937,-0.212419420480728,0.004966869950294,-0.258595287799835,-0.120802588760853,0.03916871547699,-0.332156777381897,-0.179683327674866,0.073381215333939,-0.304703235626221,-0.192049786448479,0.088250607252121,-0.282856225967407,-0.195196181535721,-0.021846853196621,-0.20826530456543,-0.144013002514839,0.022238224744797,-0.270285367965698,-0.225219920277596,0.066493138670921,-0.253907799720764,-0.242677196860313,0.088004007935524,-0.234136700630188,-0.255821585655212,-0.032110385596752,-0.140054106712341,-0.16713935136795,0.022966876626015,-0.173192322254181,-0.237252458930016,0.059547781944275,-0.166629612445831,-0.23616486787796,0.073780208826065,-0.156851947307587,-0.234167009592056,-0.028307184576988,-0.062461853027344,-0.186936467885971,0.013344690203667,-0.092350423336029,-0.241697296500206,0.041660338640213,-0.092240214347839,-0.256287187337875,0.056615710258484,-0.086775958538055,-0.263752102851868
H,0.032705381512642,-0.101407825946808,-0.017680631950498,0.057209327816963,-0.182880163192749,-0.08314123749733,0.077615976333618,-0.21761679649353,-0.154781058430672,0.070310413837433,-0.203192889690399,-0.229930728673935,-0.03233428299427,-0.268506348133087,-0.087336666882038,0.016285449266434,-0.319888055324554,-0.146781131625175,0.055952936410904,-0.346451044082642,-0.173478111624718,0.09061723947525,-0.350595831871033,-0.189632177352905,-0.053484238684177,-0.220472157001495,-0.110065422952175,0.020879313349724,-0.263655364513397,-0.179258614778519,0.071788460016251,-0.281340360641479,-0.206153333187103,0.108097851276398,-0.288186967372894,-0.224082961678505,-0.053043745458126,-0.158317029476166,-0.134886547923088,0.035212874412537,-0.170631468296051,-0.178558334708214,0.051124677062035,-0.143431544303894,-0.152720615267754,0.044222384691238,-0.129984259605408,-0.136392056941986,-0.039892345666885,-0.090524733066559,-0.161170825362206,0.030402094125748,-0.114599287509918,-0.176341041922569,0.04366934299469,-0.101034283638,-0.155222281813622,0.036292672157288,-0.089680135250092,-0.142509788274765
H,0.03855887055397,-0.105864882469177,-0.018982771784067,0.069543778896332,-0.186323881149292,-0.076647385954857,0.095694214105606,-0.229245483875275,-0.135108828544617,0.095663696527481,-0.231887221336365,-0.189334034919739,-0.008156582713127,-0.294539451599121,-0.098430700600147,0.045165926218033,-0.349385321140289,-0.166917279362679,0.08609926700592,-0.376505076885223,-0.204554900527,0.121260136365891,-0.385855853557587,-0.229650512337685,-0.032284379005432,-0.249930739402771,-0.121312655508518,0.052213102579117,-0.296984791755676,-0.20868119597435,0.108161330223083,-0.330156087875366,-0.254027724266052,0.151203185319901,-0.346471309661865,-0.284360080957413,-0.034557551145554,-0.182333588600159,-0.145120993256569,0.059772402048111,-0.192155301570892,-0.198994398117065,0.089974284172058,-0.169602155685425,-0.185747116804123,0.092522829771042,-0.154298007488251,-0.171015337109566,-0.020948946475983,-0.107650220394135,-0.170349195599556,0.05574868619442,-0.132016479969025,-0.191650539636612,0.085372388362885,-0.133652091026306,-0.176789551973343,0.092023879289627,-0.127272069454193,-0.163334518671036
H,0.04146982729435,-0.121092677116394,0.005617111455649,0.079021960496902,-0.209072768688202,-0.055876832455397,0.107615023851395,-0.249121367931366,-0.125399217009544,0.109266817569733,-0.249307036399841,-0.192873388528824,-0.003530755639076,-0.313474774360657,-0.094449378550053,0.060935020446777,-0.35690051317215,-0.158602267503738,0.107429265975952,-0.381652414798737,-0.188976347446442,0.146834552288055,-0.391258239746094,-0.210475355386734,-0.02189002931118,-0.25383073091507,-0.134319707751274,0.075626760721207,-0.295491695404053,-0.207213222980499,0.126973450183868,-0.318350851535797,-0.227491334080696,0.162616819143295,-0.331630289554596,-0.241891235113144,-0.017318785190582,-0.177109181880951,-0.171844273805618,0.083260357379913,-0.197618663311005,-0.211800217628479,0.094015747308731,-0.169098258018494,-0.172499850392342,0.07967084646225,-0.155713558197021,-0.144841805100441,0.001985996961594,-0.097385883331299,-0.210387140512466,0.084643721580505,-0.136437177658081,-0.224590182304382,0.104094326496124,-0.13663113117218,-0.19634722173214,0.100658565759659,-0.136056780815125,-0.181294098496437
H,0.05305303633213,-0.123716711997986,0.0303541328758,0.091458886861801,-0.206460773944855,-0.022513112053275,0.123175024986267,-0.239786505699158,-0.090663745999336,0.134613186120987,-0.243241727352142,-0.159442126750946,0.010684981942177,-0.325403451919556,-0.05648235604167,0.080316603183746,-0.361319780349731,-0.119465447962284,0.133572340011597,-0.375388622283936,-0.154789447784424,0.178420513868332,-0.37447190284729,-0.173520311713219,-0.005877524614334,-0.264146447181702,-0.108433946967125,0.099717050790787,-0.291187882423401,-0.160184681415558,0.125046700239182,-0.262632966041565,-0.154241546988487,0.129533320665359,-0.251743853092194,-0.149367108941078,-0.002121269702911,-0.187565267086029,-0.158557802438736,0.100416839122772,-0.202737271785736,-0.184608533978462,0.098148673772812,-0.159460246562958,-0.142751336097717,0.073337346315384,-0.150954306125641,-0.11749567091465,0.013377919793129,-0.108652174472809,-0.20821151137352,0.094889968633652,-0.141592681407928,-0.204374969005585,0.095937103033066,-0.121462285518646,-0.165017053484917,0.073311865329742,-0.119937419891357,-0.147042527794838
H,0.060304328799248,-0.109647691249847,0.047103051096201,0.097953364253044,-0.192534804344177,0.012928510084748,0.132203206419945,-0.225342392921448,-0.039645072072744,0.149844840168953,-0.234184563159943,-0.097081951797009,0.033449292182922,-0.316293001174927,-0.024723283946514,0.10033954679966,-0.351281106472015,-0.06687193363905,0.149949118494987,-0.362917423248291,-0.092675112187862,0.191702321171761,-0.35717499256134,-0.110780417919159,0.018208846449852,-0.270710587501526,-0.079425178468227,0.115684822201729,-0.304886519908905,-0.118366993963718,0.163320496678352,-0.308445990085602,-0.134009316563606,0.196402624249458,-0.304947257041931,-0.145360708236694,0.018725082278252,-0.205686032772064,-0.12888415157795,0.114149942994118,-0.22182297706604,-0.14167046546936,0.116218790411949,-0.181023299694061,-0.10871959477663,0.100316986441612,-0.160472691059113,-0.091238334774971,0.029604241251945,-0.135441422462463,-0.177209958434105,0.104678973555565,-0.159517765045166,-0.168596714735031,0.106652155518532,-0.136907875537872,-0.135213136672974,0.090791687369347,-0.124884188175201,-0.117888852953911
H,0.058577939867973,-0.109983205795288,0.040425591170788,0.101139172911644,-0.187933325767517,0.005724385846406,0.141055479645729,-0.208606839179993,-0.046155609190464,0.165794655680656,-0.198338985443115,-0.105177454650402,0.044236078858376,-0.314305663108826,-0.035213369876146,0.109394356608391,-0.342163503170013,-0.074386961758137,0.157927975058556,-0.348122924566269,-0.095899313688278,0.196124985814095,-0.346369564533234,-0.112581267952919,0.030492350459099,-0.263687312602997,-0.084366619586945,0.117178454995155,-0.295474112033844,-0.119935669004917,0.169212177395821,-0.304194569587708,-0.131593689322472,0.206326261162758,-0.309576869010925,-0.14324913918972,0.030461475253105,-0.195207595825195,-0.129289284348488,0.121812537312508,-0.206434845924377,-0.141635969281197,0.128275886178017,-0.169322669506073,-0.107430599629879,0.115954980254173,-0.146135628223419,-0.090081065893173,0.038791075348854,-0.120274722576141,-0.172701224684715,0.110926762223244,-0.146906435489655,-0.164778262376785,0.114877387881279,-0.12941300868988,-0.131801143288612,0.101005330681801,-0.111748516559601,-0.114995718002319
H,0.047236353158951,-0.101999819278717,0.045402474701405,0.097974509000778,-0.174892842769623,0.015937110409141,0.146809697151184,-0.188091814517975,-0.029693577438593,0.17779129743576,-0.169102132320404,-0.082674644887447,0.057391107082367,-0.2967149913311,-0.028002433478832,0.130968481302261,-0.321370244026184,-0.05704827979207,0.179813086986542,-0.325278401374817,-0.072395727038383,0.216717332601547,-0.321663320064545,-0.083096861839294,0.047479629516602,-0.246932208538055,-0.074778258800507,0.138927936553955,-0.278545320034027,-0.102386601269245,0.189962416887283,-0.284505546092987,-0.105989880859852,0.227332234382629,-0.283477902412415,-0.110369212925434,0.049400478601456,-0.17905604839325,-0.11641476303339,0.144450396299362,-0.182043194770813,-0.118867225944996,0.144817739725113,-0.14308625459671,-0.082850642502308,0.130496323108673,-0.120206356048584,-0.063941434025764,0.057817101478577,-0.10498034954071,-0.156022176146507,0.132575362920761,-0.127108633518219,-0.140388831496239,0.130621939897537,-0.10749614238739,-0.106591954827309,0.113651007413864,-0.088331580162048,-0.088185369968414
H,0.039580494165421,-0.106257557868958,0.053413916379213,0.092643678188324,-0.168289184570312,0.037010051310062,0.144842773675919,-0.175048649311066,0.006279360502958,0.177550226449966,-0.154499888420105,-0.033035695552826,0.063792079687119,-0.276030719280243,-0.02578853443265,0.141802459955215,-0.303361058235168,-0.04395130649209,0.188369184732437,-0.307601153850555,-0.049549743533134,0.222421735525131,-0.306335657835007,-0.054431535303593,0.059236198663712,-0.226634740829468,-0.069283097982407,0.148983091115952,-0.263342440128326,-0.085902638733387,0.196985006332397,-0.266585409641266,-0.081030867993832,0.231713503599167,-0.266153633594513,-0.081032492220402,0.063402026891708,-0.15998387336731,-0.105627663433552,0.15192249417305,-0.173058390617371,-0.102290861308575,0.152495235204697,-0.142994940280914,-0.065208047628403,0.138986229896545,-0.124119341373444,-0.046760007739067,0.071683168411255,-0.088822722434998,-0.138753190636635,0.139075398445129,-0.113660037517548,-0.127938985824585,0.140614748001099,-0.102628946304321,-0.10158297419548,0.127431511878967,-0.087434411048889,-0.087731711566448
H,0.035339832305908,-0.109749615192413,0.047686610370874,0.091336220502853,-0.165274202823639,0.031175820156932,0.147013396024704,-0.162773489952087,0.004134966991842,0.18209782242775,-0.138338565826416,-0.030364383012056,0.069887340068817,-0.26222038269043,-0.034460566937923,0.151100099086761,-0.282614976167679,-0.049779426306486,0.196046680212021,-0.290880858898163,-0.052470725029707,0.229188054800034,-0.29737389087677,-0.053568385541439,0.068120747804642,-0.207728087902069,-0.071773432195187,0.15957772731781,-0.243399918079376,-0.087166726589203,0.207188755273819,-0.25035834312439,-0.075769200921059,0.242237597703934,-0.257444679737091,-0.07083922624588,0.073016107082367,-0.138775050640106,-0.101861551403999,0.162820547819138,-0.154828131198883,-0.095941714942455,0.158626645803452,-0.125423491001129,-0.05576404556632,0.142214894294739,-0.108769714832306,-0.034158580005169,0.079747319221497,-0.06614738702774,-0.128372952342033,0.148379296064377,-0.09504497051239,-0.117308914661407,0.146323323249817,-0.086393654346466,-0.088592760264874,0.13013556599617,-0.073686957359314,-0.072433911263943
