class,x1_0,y1_0,z1_0,x2_0,y2_0,z2_0,x3_0,y3_0,z3_0,x4_0,y4_0,z4_0,x5_0,y5_0,z5_0,x6_0,y6_0,z6_0,x7_0,y7_0,z7_0,x8_0,y8_0,z8_0,x9_0,y9_0,z9_0,x10_0,y10_0,z10_0,x11_0,y11_0,z11_0,x12_0,y12_0,z12_0,x13_0,y13_0,z13_0,x14_0,y14_0,z14_0,x15_0,y15_0,z15_0,x16_0,y16_0,z16_0,x17_0,y17_0,z17_0,x18_0,y18_0,z18_0,x19_0,y19_0,z19_0,x20_0,y20_0,z20_0
T,0.017321512103081,-0.056569635868073,-0.044524881988764,0.036459878087044,-0.077919960021973,-0.101329393684864,0.063154295086861,-0.075978577136993,-0.149269908666611,0.086629465222359,-0.059594869613647,-0.207006916403770,-0.014723211526871,-0.055461406707764,-0.184110701084137,0.039405629038811,-0.038930952548981,-0.243450686335564,0.080816164612770,-0.019590139389038,-0.270457208156586,0.105114772915840,-0.006540596485138,-0.280616492033005,-0.017030909657478,0.003528118133545,-0.179184734821320,0.048056319355965,0.021050095558167,-0.232494622468948,0.088329270482063,0.028659522533417,-0.222279340028763,0.104564383625984,0.031388223171234,-0.219424322247505,-0.011472210288048,0.056125998497009,-0.167906627058983,0.049640133976936,0.080834507942200,-0.202733591198921,0.084399506449699,0.075961709022522,-0.188569664955139,0.097387358546257,0.060889005661011,-0.180522277951241,-0.005888924002647,0.098069906234741,-0.161277785897255,0.041713237762451,0.118371725082397,-0.175339162349701,0.072301045060158,0.104681372642517,-0.166594088077545,0.086016848683357,0.091001033782959,-0.169096037745476
H,0.042202204465866,-0.070087194442749,-0.020594136789441,0.085081458091736,-0.075007557868958,-0.053245682269335,0.123073279857635,-0.037470281124115,-0.076669298112392,0.138986319303513,-0.021189153194427,-0.095621168613434,0.023837983608246,-0.090609073638916,-0.113765336573124,0.086918294429779,-0.078295528888702,-0.135021686553955,0.109540194272995,-0.047206282615662,-0.116141945123672,0.108385831117630,-0.028603076934814,-0.101756006479263,0.006816506385803,-0.030781924724579,-0.119021371006966,0.087666451931000,-0.042182564735413,-0.148429006338120,0.107552558183670,-0.023721814155579,-0.135920420289040,0.098572850227356,-0.016091704368591,-0.139707252383232,0.003448486328125,0.024175286293030,-0.117850705981255,0.086914747953415,0.023204326629639,-0.148570299148560,0.083523154258728,0.028590142726898,-0.113494090735912,0.062829554080963,0.021192252635956,-0.101538144052029,0.010289490222931,0.073783755302429,-0.120324879884720,0.069604575634003,0.059713304042816,-0.138925537467003,0.069696664810181,0.044572293758392,-0.121743865311146,0.051866322755814,0.034414887428284,-0.113558813929558
H,0.020666092634201,-0.066058158874512,-0.022024443373084,0.062466144561768,-0.097004175186157,-0.077249832451344,0.103949517011642,-0.091170072555542,-0.123932525515556,0.135495007038116,-0.072413384914398,-0.182145982980728,0.023952931165695,-0.147728800773621,-0.160938203334808,0.079678356647491,-0.152447223663330,-0.203897774219513,0.119234204292297,-0.146351337432861,-0.212465003132820,0.141291320323944,-0.137687563896179,-0.211677998304367,0.020134001970291,-0.094849109649658,-0.164249747991562,0.090235263109207,-0.108590245246887,-0.202869966626167,0.132624208927155,-0.113808691501617,-0.184963762760162,0.157326757907867,-0.112383365631104,-0.174899011850357,0.025678366422653,-0.033073902130127,-0.165125280618668,0.089497387409210,-0.049840211868286,-0.193893671035767,0.117708235979080,-0.065392911434174,-0.171172440052032,0.129123479127884,-0.072199106216431,-0.157940641045570,0.037723004817963,0.022513151168823,-0.167196065187454,0.085477948188782,-0.005321860313416,-0.174957528710365,0.099884867668152,-0.024887323379517,-0.156380221247673,0.103542566299438,-0.030705690383911,-0.147007316350937
H,0.012404918670654,-0.074207544326782,-0.002552031073719,0.045570999383926,-0.121106803417206,-0.037370841950178,0.080265432596207,-0.132733464241028,-0.067418180406094,0.104631394147873,-0.127991139888763,-0.100044392049313,0.034341901540756,-0.159024715423584,-0.110985383391380,0.089328676462173,-0.151607096195221,-0.140084892511368,0.121946185827255,-0.145664989948273,-0.146860077977180,0.142614156007767,-0.143502831459045,-0.147895917296410,0.034786194562912,-0.108470916748047,-0.118330448865891,0.106896311044693,-0.103747844696045,-0.141121610999107,0.141246050596237,-0.103451609611511,-0.122316323220730,0.161543786525726,-0.102215349674225,-0.112698845565319,0.041926503181458,-0.048105299472809,-0.120346516370773,0.110246896743774,-0.049895644187927,-0.131801903247833,0.137462377548218,-0.055884659290314,-0.106715716421604,0.150700569152832,-0.061104655265808,-0.094260051846504,0.051847487688065,0.008797943592072,-0.121413126587868,0.103591114282608,-0.005602598190308,-0.118563465774059,0.120836168527603,-0.016215622425079,-0.094837628304958,0.126792639493942,-0.025830745697021,-0.082047350704670
H,0.011931151151657,-0.079351842403412,0.014541511423886,0.045846581459045,-0.123609781265259,-0.003319594310597,0.084225118160248,-0.133063375949860,-0.018669344484806,0.109678328037262,-0.129579961299896,-0.036089763045311,0.047592371702194,-0.160465419292450,-0.062730103731155,0.102157890796661,-0.151356518268585,-0.075152926146984,0.132441520690918,-0.142293751239777,-0.078421272337437,0.150831609964371,-0.140303194522858,-0.077553220093250,0.051112353801727,-0.115987598896027,-0.073400042951107,0.115347951650620,-0.108339190483093,-0.082726627588272,0.149165481328964,-0.104850709438324,-0.068188190460205,0.168724268674850,-0.102554202079773,-0.063450552523136,0.056839793920517,-0.061208069324493,-0.078100442886353,0.120158731937408,-0.062696099281311,-0.079855054616928,0.144078731536865,-0.061175882816315,-0.058883666992188,0.154324054718018,-0.060414016246796,-0.049396824091673,0.063798367977142,-0.003842294216156,-0.079619392752647,0.113232374191284,-0.018384993076324,-0.071434415876865,0.128009200096130,-0.025951743125916,-0.050318963825703,0.132348835468292,-0.032699286937714,-0.038767978549004
H,0.016264706850052,-0.080187797546387,0.019403200596571,0.052207857370377,-0.123738288879395,0.004932723008096,0.090501129627228,-0.130039930343628,-0.007735119201243,0.118288546800613,-0.124114751815796,-0.024906273931265,0.053128004074097,-0.163299471139908,-0.060167882591486,0.105730772018433,-0.155290871858597,-0.068041153252125,0.138694405555725,-0.152121722698212,-0.067071184515953,0.164277583360672,-0.153358191251755,-0.063954964280128,0.056376099586487,-0.114647150039673,-0.069675147533417,0.120505690574646,-0.104659736156464,-0.068221732974052,0.150088965892792,-0.097200930118561,-0.043143361806870,0.166890084743500,-0.091389000415802,-0.030108181759715,0.061639994382858,-0.057721138000488,-0.073835149407387,0.122362375259399,-0.059804916381836,-0.061663955450058,0.135250806808472,-0.053596138954163,-0.029016800224781,0.134763658046722,-0.046036422252655,-0.013696204870939,0.067462921142578,-0.001076281070709,-0.075655706226826,0.113317936658859,-0.019845783710480,-0.053800977766514,0.119250059127808,-0.026521980762482,-0.024861298501492,0.115094244480133,-0.030964374542236,-0.007285812869668
H,0.017390936613083,-0.074017941951752,0.020016558468342,0.061767965555191,-0.107246160507202,-0.003650838974863,0.107062488794327,-0.097862303256989,-0.025103198364377,0.136379361152649,-0.078638017177582,-0.045418851077557,0.051830261945724,-0.161784380674362,-0.066603533923626,0.109651565551758,-0.163168370723724,-0.086235255002975,0.147663831710815,-0.168689131736755,-0.094292089343071,0.178554624319077,-0.175329178571701,-0.099946163594723,0.055385380983353,-0.116625964641571,-0.081842161715031,0.125435471534729,-0.116086304187775,-0.095365688204765,0.171107888221741,-0.123847186565399,-0.089749887585640,0.204224735498428,-0.132433265447617,-0.093372441828251,0.059825867414474,-0.059553861618042,-0.090470656752586,0.124625384807587,-0.054916322231293,-0.074002005159855,0.124148309230804,-0.047787189483643,-0.034890066832304,0.112194120883942,-0.041255891323090,-0.019618654623628,0.065172582864761,-0.000534296035767,-0.098374366760254,0.112750202417374,-0.013406515121460,-0.070114091038704,0.105731308460236,-0.014692246913910,-0.036971591413021,0.089913934469223,-0.013786315917969,-0.025169810280204
H,0.019852608442307,-0.072952330112457,0.022204758599401,0.063438653945923,-0.100362002849579,-0.006550808437169,0.106494665145874,-0.083405911922455,-0.033407941460609,0.137506753206253,-0.058227777481079,-0.063709400594234,0.055123925209045,-0.158793926239014,-0.074987515807152,0.117484152317047,-0.159312397241592,-0.091019853949547,0.155596792697906,-0.166230857372284,-0.096219249069691,0.187057405710220,-0.174557477235794,-0.102935925126076,0.056402057409286,-0.107342779636383,-0.091670192778111,0.126903831958771,-0.110507011413574,-0.106117397546768,0.167596369981766,-0.118927240371704,-0.094002239406109,0.198239952325821,-0.127354204654694,-0.093161754310131,0.059367895126343,-0.047210335731506,-0.099182121455669,0.123120635747910,-0.041457653045654,-0.075684241950512,0.113601952791214,-0.036243557929993,-0.031482625752687,0.098829656839371,-0.034230530261993,-0.015630237758160,0.063852548599243,0.011806905269623,-0.106084585189819,0.109140574932098,0.001310825347900,-0.072282172739506,0.095931202173233,-0.003506600856781,-0.036962736397982,0.078711032867432,-0.003809571266174,-0.022440144792199
H,0.021118819713593,-0.069922268390656,0.029271868988872,0.062636703252792,-0.095514714717865,0.006101203151047,0.104608029127121,-0.076885521411896,-0.016933444887400,0.136673390865326,-0.052305161952972,-0.043405655771494,0.054530978202820,-0.157470256090164,-0.063528954982758,0.116818547248840,-0.162653654813766,-0.072452180087566,0.152890264987946,-0.168625235557556,-0.073279835283756,0.180153816938400,-0.174803674221039,-0.076907388865948,0.055686801671982,-0.108718872070312,-0.083584658801556,0.125099331140518,-0.121228128671646,-0.091395914554596,0.164125651121140,-0.129025518894196,-0.076561078429222,0.193060815334320,-0.135662764310837,-0.073663309216499,0.058872073888779,-0.052622318267822,-0.094532735645771,0.122661441564560,-0.046923398971558,-0.072012752294540,0.113336205482483,-0.039204657077789,-0.034552913159132,0.098874986171722,-0.037179887294769,-0.021459704264998,0.062888205051422,0.001105904579163,-0.103628464043140,0.106636583805084,-0.002093017101288,-0.072398178279400,0.094590485095978,-0.002593874931335,-0.040371298789978,0.078542143106461,-0.002598464488983,-0.027367057278752
H,0.024920225143433,-0.075947701931000,0.020254150032997,0.065175175666809,-0.106626689434052,-0.004693757276982,0.106540560722351,-0.091921091079712,-0.026510329917073,0.141077667474747,-0.068400025367737,-0.050238911062479,0.057112753391266,-0.152584344148636,-0.078516811132431,0.120096325874329,-0.161449432373047,-0.088945835828781,0.157228589057922,-0.169113308191299,-0.087935909628868,0.185280352830887,-0.175119966268539,-0.089902676641941,0.057808220386505,-0.099587082862854,-0.092846013605595,0.125969082117081,-0.118487656116486,-0.103803858160973,0.164770334959030,-0.127848327159882,-0.088388085365295,0.193646818399429,-0.132618129253387,-0.085845626890659,0.061041414737701,-0.041713356971741,-0.098449818789959,0.125048786401749,-0.046149730682373,-0.076266303658485,0.115775555372238,-0.040640115737915,-0.033814091235399,0.101899802684784,-0.036082446575165,-0.017754917964339,0.065304756164551,0.012312412261963,-0.103392779827118,0.109731197357178,-0.002313137054443,-0.072464518249035,0.098080277442932,-0.006889700889587,-0.037980761379004,0.082449257373810,-0.006413996219635,-0.024353021755815
